year,circuit_id,weather
1993,donington,wet
1994,suzuka,wet
1996,monaco,wet
1997,jerez,dry
1998,spa,wet
2000,sepang,wet
2002,sepang,wet
2003,interlagos,wet
2004,spa,wet
2005,nurburgring,wet
2006,suzuka,wet
2007,nurburgring,wet
2008,silverstone,wet
2008,spa,wet
2009,sepang,wet
2010,albert-park,mixed
2010,korea,wet
2011,montreal,wet
2012,interlagos,wet
2014,spa,wet
2015,silverstone,mixed
2016,interlagos,wet
2016,hockenheim,wet
2017,spa,mixed
2018,hockenheim,wet
2019,hockenheim,wet
2020,istanbul-park,wet
2021,spa,wet
2021,silverstone,mixed
2022,suzuka,wet
2023,albert-park,mixed
